Sterling Obadiah Pennington
Zophar Jeremiah Atwood
Octavius Zophar Leggett
Salmon Newton Forger
Abiel Alden Fishenden
Nicodemus Nigel Mannerings
Hank Amias Aldithley
Julius Obediah Philpott
Calvin Samuel Claringbold
Theophilus Seth Friend
Joseph Bennet Dickinson
Chauncey Gaylord Gresley
Hank Daniel Fielding
Augustus Gilbert Beggley
Zophar Alexander Elmstone
Zebulon Tom Bleeze
Morgan Zedock Castleton
Abner Clement Barclay
Lucas Nestor Batchelor
Thodeoric Clem Hoadley
Royden Edgar Bashford
Cotton Andy Doughtry
Augustus Ebenezer Billinghurst
Obadiah George Cannon
Junius Michael Canning
Jack Jesse Smithy
Daniel Lancelot Tremaine
Perry Robert Hammerman
Luke Silas Manwaring
Morris Maxwell Trigg
Andy Jasper Archer
Nicholas Brisco Parsons
Allen Zachariah Muggeridge
Cole Amos Bowles
Vincent Alonzo Salwey
Clifford Phineas Napper
Elijah Clement Cannon
Emmett Benedict Riggs
Archibald Timothy Necket
Aloysius Warren Bagley
Adonijah Lafe Latimer
Uriah Neville Lewkenor
Philomon Clement Hedersett
Ernest Peter Bowyer
Jack Leslie Bleeze
Josiah Jethro Theobald
Azariah Geoffrey Deering
Drew Adonijah Batterbee
Eli Herbert Lewkenor
Marcellus Ulysses Lewkenor
Cornelius Eli Packer
Robert Arronax Chandler
Junius Thodeoric Stokes
Mavromichali Abner Blenkinsopp
Lemuel Clem Powers
Experience Lazarus Yardley
Lysander Jarvis Elmstone
Anthony Linus Bray
Washington Levi Bronze
Nestor Thaddeus Chambers
Luke Harland Chuffey
Everardus Winthrop Atwater
Shrapnel Washington Sheridan
Rowland Theodore Brock
Laurentius Jacob Porter
Ralph Lew Pankhurst
Obadiah Julian Steele
Amon Theodore Necket
Aloysius Matthew Bucket
Nigel Bramwell Griffin
Jeremiah Octavius Lewkenor
Lafe Seth Beeching
Frederick Ebenezer Griffin
Will Hezekiah Barclay
Wilfred Stephen Fielding
Sampson Martin Catchpole
Alan Cuthbert Stillingfleet
Salmon Arthur Lambkin
Lemuel Philander Langstaff
Aylsworth Verne Silver
Ambrose Barnabas Brattle
Simeon Stanley Ambrose
Henry Seymour Brattle
Eliab Phineas Betteridge
Algernon Ninian Deal
Artemus Archibald Tremaine
Zephaniah Cornelius Maxwell
George Brisco Wheeler
Philo Morris Littlechild
Mordecai Andy Bucket
Eleazar Ninian Featherstone
Erastus Bartholomew Atwater
Zaccheus Les Chuffey
Bazel Adonijah Darleston
Barnabas Harold Elmstone
Hiram Thaddeus Barton
Nehemiah Wesley Cogwright
Francis Ray Granger
Lafe Emmett Emerson
Ammiras Victor Aldridge
