Rachel Helen Beeching
Estella Charlotte Mortimer
Sophia Abitha Stanhope
Electa Hermione Cadwell
Deryn Gwendolyn Stonor
Patience Gladys Smithy
Nelly Patience Train
Hattie Caroline Jarvis
Mercy Verity Windlass
Thomasina Phoebe Jolliffe
Susanna Esther Cogwright
Persephone Beatrice Oldfield
Ada Maxie Theobald
Keziah Maxie Featherstone
Patience Priscilla Hoadley
Ermelinde Orpha Sheridan
Hepzibah Eulalia Sawyer
Kate Constance Cobb
Philomena Maxie Powers
Patience Deborah Canning
Clementine Katherine Habsburg
Judith Louise Hellyer
Maxie Almyra Jarvis
Hester Rebecca Anvil
Bessie Mary Brick
Dot Audrey Baker
Nicola Diana Hedersett
Geneve Mary Wilkins
Mildred Liza Rayburn
Natalie Nelly Hawkes
Agnes Georgia Cooper
Myrtle Aurelia Lovegrove
Aphra Almira Radcliff
Jessamine Juliet Gifford
Rebekah Emeline Larkin
Gertie Azuba Hammerman
Evangeline Charity Pott
Lydia Hattie Cadwell
Dora Theodosia Fleming
Mabel Temperance Cogwright
Dora Arrah Compton
Fanny Lucinda Batchelor
Betsy Rebecca Lovegrove
Cecilia Audrey Windlass
Prunella Vertiline Yardley
Gladys Theodora Leeford
Constantia Juliet Kettle
Mahulda Olivia Cuttle
Lyra Isabella Nottle
Lucrezia Vertiline Humphries
Keziah Anastasia Buckle
Emma Flora Salwey
Sophia Sonya Dickinson
Mirabell Iris Brogley
Arrah Eugenia Leggett
Liza Ursula Bashford
Violet Zona Eagleden
Emilia Dot Gresley
Flora Hermione Oakley
Vivian Theodosia Bartholemew
Rufina Wilhelmina Giffard
Diana Mabel Jolliffe
Jessica Leah Wrayburn
Eunice Ellie Lovegrove
Eulalia Flora Silver
Lorena Grace Banks
Mildred Grace Betteridge
Miriam Ann Leggett
Keturah Gertrude Hawkes
Rosalie Elmira Muggeridge
Araminta Preshea Napper
Miriam Drusilla Brownsmith
Evangeline Theodora Maycock
Beatrice Agnes Walstrand
Virginia Sonya Castleton
Phoebe Lorraine Duncke
Sonya Mahala Stillingfleet
Lilly Bethany Eagleden
Phila Rachel Giffard
Cleora Sonya Featherstone
Gertie Parthena Fleming
Agatha Dorothy Likeman
Petronella Mattie Addle
Cynthia Eunice Langdale
Ester Mildred Hogbin
Nancy Remember Igglesden
Louise Helene Winch
Zenobia Esther Brogley
Cornelia Naomi Parson
Thomasina Eunice Patching
Phila Myrtle Badger
Deryn Rufina Palmer
Esther Lilly Barman
Emilia Cornelia Farrier
Modesty Alexia Midgeley
Mercy Almyra Langstaff
Rebecca Remember Fielding
Jessamine Matilda Gresley
Anastasia Rosanna Maitland
Hephzibah Laurinda Boodle
